name,accuracy,recall,specificity,precision,kappa,auc,accuracy_sd,recall_sd,specificity_sd,precision_sd,kappa_sd,auc_sd,threshold_mean,fn_total,fp_total,passes,rows_key,n_rows,family,k,selection,delta_kappa_vs_baseline,delta_kappa_se,delta_accuracy_vs_baseline,delta_accuracy_se
whole-data top-16 (LEAKY),0.7733333333333333,0.88,0.6240000000000001,0.7836450216450217,0.5177486747747408,0.8731428571428572,0.10897247358851683,0.1580062859336863,0.22597935008904388,0.11828025944346363,0.23234079282912964,0.1355462619021501,0.5,21,47,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,16.0,ranked on all 60 heads,-0.04206114803767853,0.023946194725482824,-0.01999999999999999,0.011055415967851331
in-fold top-19 (RF importance),0.7733333333333334,0.8742857142857143,0.6320000000000001,0.7857878787878788,0.5176716314654994,0.8565714285714284,0.13070322617798436,0.1505093393264677,0.24276188608044166,0.13539389760859255,0.2786843003300966,0.14078738734479787,0.5,22,46,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,19.0,in-fold RF importance,-0.04213819134691999,0.03169288763700045,-0.02,0.014656562175858798
whole-data top-21 (LEAKY),0.7733333333333333,0.88,0.6240000000000001,0.7836450216450217,0.5163077404545495,0.86,0.1115961634811148,0.14093951035189278,0.233238075793812,0.12377872466569835,0.24113028564179967,0.13248026422136722,0.5,21,47,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,21.0,ranked on all 60 heads,-0.043502082357869815,0.02787189604182532,-0.019999999999999997,0.012981468272831023
whole-data top-17 (LEAKY),0.77,0.8742857142857143,0.6240000000000001,0.782984126984127,0.5107397169394073,0.8605714285714287,0.1056286296768419,0.1505093393264677,0.22597935008904388,0.1160167148212439,0.2290315399512019,0.14482454784967896,0.5,22,47,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,17.0,ranked on all 60 heads,-0.04907010587301206,0.024438228470328113,-0.02333333333333332,0.01130388330520878
in-fold top-13 (RF importance),0.77,0.8742857142857143,0.624,0.7814227994227995,0.510147312647063,0.86,0.10833333333333334,0.138750497946033,0.2259793500890439,0.11889319037271669,0.23371158665255087,0.12988744473319866,0.5,22,47,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,13.0,in-fold RF importance,-0.049662510165356444,0.030827835746418918,-0.02333333333333333,0.014043582955293931
in-fold top-16 (RF importance),0.77,0.8742857142857144,0.624,0.7854545454545453,0.5098389472473663,0.8605714285714287,0.10833333333333334,0.1505093393264677,0.24027761721253466,0.12569797771812277,0.2340456895450521,0.14500058644028724,0.5,22,47,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,16.0,in-fold RF importance,-0.04997087556505311,0.030698783152514193,-0.02333333333333333,0.014043582955293931
"all 24 features, drop S045 (bad framing)",0.7672727272727273,0.8657142857142857,0.632,0.7746450216450217,0.5084220266414635,0.8436190476190477,0.13135294656679153,0.16679133659218365,0.23579652245103191,0.13673725338948678,0.27157333992576144,0.1057352867742675,0.5,23,46,accuracy✗ recall✓ kappa✗,no_s045,59,row-drop,24.0,none,,,,
in-fold top-24 (RF importance),0.7666666666666666,0.8628571428571428,0.6320000000000001,0.7868989898989899,0.5058509667036583,0.8434285714285714,0.11283386673105501,0.16741329363092328,0.2357965224510319,0.12439030371188342,0.23969616958877646,0.14234909661154319,0.5,24,46,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,24.0,in-fold RF importance,-0.05395885610876121,0.02880565666346957,-0.02666666666666666,0.013368010461684404
in-fold top-12 (RF importance),0.7666666666666667,0.8628571428571428,0.632,0.784041847041847,0.5050533477883923,0.8537142857142856,0.11785113019775792,0.15141060091032996,0.2357965224510319,0.12821320815824538,0.25100656819582695,0.14173847719785676,0.5,24,46,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,12.0,in-fold RF importance,-0.05475647502402719,0.03241028106733926,-0.02666666666666666,0.014999999999999996
in-fold top-17 (RF importance),0.7666666666666667,0.8742857142857144,0.616,0.779978354978355,0.5038123876356674,0.8571428571428572,0.112833866731055,0.16659862556700858,0.2303620339089466,0.12025897258782339,0.23989701601945798,0.14214106244380287,0.5,22,48,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,17.0,in-fold RF importance,-0.05599743517675205,0.02897146302953042,-0.026666666666666665,0.013368010461684407
